Store_Name,Address,lat,lgt,center_latitude,center_longitude,NumPanels,YearlyEnergy,SolarArea
Lilburn,"4801 Lawrenceville Hwy NW, Lilburn, GA 30047",33.8951128,-84.1410089,33.8951267,-84.14101099999999,77,43260.973,151.19373
Line Creek,"2720 Highway 54, Peachtree City, GA 30269",33.3962202,-84.60016019999999,33.396220899999996,-84.6001604,128,72923.125,251.33502
Locust Grove,"1005 Bandy Pkwy, Locust Grove, GA 30248",33.3516841,-84.12860309999999,33.3522781,-84.12894829999999,67,41728.82,131.55818
Loganville,"4321 Atlanta Hwy, Loganville, GA 30052",33.839706,-83.910068,33.8406854,-83.90874699999999,156,91570.76,306.31454
Lovejoy Station,"11161 Tara Blvd, Hampton, GA 30228",33.4494088,-84.32599359999999,33.4494079,-84.32599789999999,78,47582.563,153.15727
Lulah Hills,"3795 N Druid Hills Rd, Decatur, GA 30033",33.8114063,-84.2787525,33.8114075,-84.2787546,366,210982.67,718.6611
Macland Crossing,"2005 Macland Crossing Cir SW, Marietta, GA 30008",33.9046893,-84.6034857,33.9046888,-84.6035162,80,43706.3,157.08438
Macon Road,"2421 Wynnton Rd, Columbus, GA 31906",32.4719888,-84.9562527,32.472017199999996,-84.95626209999999,91,53144,178.68349
Madison (GA),"1781 Eatonton Rd, Madison, GA 30650",33.5637543,-83.4790453,33.5637658,-83.47907909999999,96,56886.36,188.50127
Mall of Georgia,"3333 Buford Dr Spc No1071, Buford, GA 30519",34.0662711,-83.98427459999999,34.0648562,-83.9843728,24584,14673355,48272.03
Mall of Georgia on Buford Drive,"3235 Buford Dr, Buford, GA 30519",34.0645016,-83.9889993,34.0644989,-83.9889887,133,72900.31,261.1528
Manchester Expressway,"2730 Manchester Expy, Columbus, GA 31904",32.5060192,-84.95222969999999,32.5059598,-84.9522684,2479,1554896.9,4867.6523
McDonough,"1321 Highway 20 W, McDonough, GA 30253",33.4242934,-84.1834411,33.424280599999996,-84.18344019999999,91,53882.875,178.68349
Memorial Drive,"5542 Memorial Dr, Stone Mountain, GA 30083",33.8012663,-84.21178499999999,33.801277999999996,-84.21179389999999,66,36823.6,129.59462
Mercedes-Benz Stadium,"441 Martin Luther King Jr Dr NW, Atlanta, GA 30313",33.7556317,-84.401696,33.755446299999996,-84.4008144,11554,6704390,22686.912
Mercer University,"1400 Coleman Ave, Macon, GA 31207",32.8293681,-83.6515137,32.8293713,-83.6515129,5367,3298339,10538.399
Midland,"6501 Kitten Lake Dr, Midland, GA 31820",32.5395648,-84.8690634,32.539564399999996,-84.8690609,95,55470.953,186.5377
Midtown Savannah,"7 E Derenne Ave, Savannah, GA 31405",32.0283957,-81.110362,32.028518,-81.1106447,39,22275.928,76.578636
Milledgeville,"1730 N Columbia St, Milledgeville, GA 31061",33.1006343,-83.24818669999999,33.1006309,-83.24820009999999,107,65360.09,210.10037
Monroe (GA),"620 Highway 138, Monroe, GA 30655",33.7958305,-83.7413,33.7958255,-83.74130509999999,91,53854.62,178.68349
Moore Road,"1035 Peachtree Industrial Blvd, Suwanee, GA 30024",34.0520231,-84.0901252,34.052028199999995,-84.0900942,81,46875.35,159.04794
Moultrie,"502 Lane St, Moultrie, GA 31768",31.1733741,-83.7624676,31.1733813,-83.7625091,104,62327.855,204.2097
Mullins Crossing,"4201 Washington Rd, Evans, GA 30809",33.5253146,-82.11951030000002,33.525279999999995,-82.1194893,95,53914.117,186.5377
North Dalton,"1275 N Glenwood Ave, Dalton, GA 30721",34.7957762,-84.9627455,34.795405699999996,-84.96311539999999,865,512384.06,1698.475
North Decatur,"650 Decatur Village Way, Decatur, GA 30033",33.7956905,-84.2859355,33.7957284,-84.2858057,131,75068.47,257.22568
North Druid Hills,"2340 N Druid Hills Rd NE, Atlanta, GA 30329",33.8272527,-84.32876580000001,33.8275986,-84.32863499999999,121,69836.055,237.59013
North Point Mall,"2180 N Point Cir, Alpharetta, GA 30022",34.0486398,-84.29384900000001,34.048435,-84.2945933,22518,13409740,44215.33
North Point Parkway,"6085 N Point Pkwy, Alpharetta, GA 30022",34.0485477,-84.288524,34.0484262,-84.28851019999999,185,104060.69,363.25766
North Valdosta,"3147 Inner Perimeter Rd, Valdosta, GA 31602",30.8798963,-83.29693979999999,30.879910799999998,-83.2969127,97,60999.668,190.46483
Northeast Georgia Medical Center,"743 Spring St NE, Gainesville, GA 30501",34.3034084,-83.8164795,34.3034167,-83.8164437,426,258201.75,836.47437
Northlake Festival,"3967 Lavista Rd, Tucker, GA 30084",33.8459618,-84.2525325,33.8459844,-84.2525031,83,48909.37,162.97505
Northridge Drive-Thru Only,"8433 Roswell Rd, Atlanta, GA 30350",33.9843802,-84.3499405,33.9843646,-84.34993759999999,48,27306.402,94.25063
Oakwood,"3437 Winder Hwy, Flowery Branch, GA 30542",34.2185701,-83.8607145,34.2185649,-83.8607681,114,64812.152,223.84526
Outlet Shoppes at Atlanta,"951 Ridgewalk Pkwy, Woodstock, GA 30188",34.1229958,-84.52545549999999,34.1229905,-84.5254621,79,46896.156,155.12083
Peach Orchard Road,"3130 Peach Orchard Rd, Augusta, GA 30906",33.41031359999999,-82.0260933,33.4098243,-82.0264177,168,99425.17,329.87723
Peachtree at Collier,"1901 Peachtree Rd NE, Atlanta, GA 30309",33.8070022,-84.3935434,33.8069352,-84.3934882,140,80253.28,274.89767
Peachtree Center,"225 Peachtree St NE # B-40, Atlanta, GA 30303",33.7602157,-84.38708489999999,33.7603496,-84.3868035,3058,1399986.6,6004.551
Peachtree City Midtown,"707 Highway 54, Peachtree City, GA 30269",33.4096653,-84.5673636,33.4097819,-84.5672633,73,41522.406,143.33951
Peachtree Corners,"6105 Peachtree Pkwy, Norcross, GA 30092",33.9532887,-84.2346827,33.9532885,-84.2346731,67,39477.508,131.55818
Peachtree Ind. & Pleasant Hill,"3555 Peachtree Industrial Blvd, Duluth, GA 30096",34.0015621,-84.16973469999999,34.0015691,-84.16972000000001,65,36622.473,127.631065
Perimeter at Hammond Drive,"4350 Ashford Dunwoody Rd NE, Atlanta, GA 30346",33.9209789,-84.34151059999999,33.920990499999995,-84.3415795,146,78886.08,286.67902
Perimeter Mall,"4400 Ashford Dunwoody Rd Ne, Atlanta, GA 30346",33.9235924,-84.3407299,33.923739999999995,-84.34124100000001,26783,15927622,52589.89
Perimeter Pointe,"1145 Mount Vernon Hwy, Dunwoody, GA 30338",33.9340607,-84.3500172,33.9340635,-84.3500172,68,37794.38,133.52173
Piedmont Augusta,"1350 Walton Way, Augusta, GA 30901",33.4711803,-81.9830535,33.4707824,-81.9828773,8491,4810708.5,16672.545
Piedmont Road,"2580 Piedmont Rd NE, Atlanta, GA 30324",33.8253802,-84.3676143,33.8254166,-84.3676705,97,49309.934,190.46483
Pike Street,"680 Duluth Hwy, Lawrenceville, GA 30046",33.965634,-84.0108554,33.965623199999996,-84.0108734,83,47837.023,162.97505
Pleasant Hill Dwarf House,"1570 Pleasant Hill Rd, Duluth, GA 30096",33.9437208,-84.1232517,33.9437236,-84.1232275,184,104319.17,361.2941
Ponce & Boulevard,"689 Boulevard NE, Atlanta, GA 30308",33.7735229,-84.3704882,33.7734844,-84.3704668,26,14283.605,51.052425
Pooler,"180 Pooler Pkwy, Pooler, GA 31322",32.1413925,-81.2457079,32.141356,-81.24572460000002,71,41628.703,139.4124
Poplar Road,"2090 Newnan Crossing Blvd E, Newnan, GA 30265",33.3737599,-84.7539513,33.3734842,-84.75332370000001,110,67304.4,215.99103
RELO Larry Mulkey Memorial Rd,"725 Atlanta Hwy, Cumming, GA 30040",34.1846087,-84.14635799999999,34.184633999999996,-84.1463685,140,74435.27,274.89767
RELO Wesley Chapel Road,"2452 Wesley Chapel Rd, Decatur, GA 30035",33.7158201,-84.2149111,33.715783099999996,-84.214882,166,101357.69,325.9501
Rincon,"5438 GA Highway 21 S, Rincon, GA 31326",32.27469,-81.2291612,32.2746741,-81.22917180000002,116,68412.91,227.77237
Riverdale Dwarf House,"6549 Highway 85, Riverdale, GA 30274",33.5756325,-84.4129688,33.5756304,-84.4129792,123,73317.88,241.51724
Rivermont Station,"8475 Holcomb Bridge Rd, Alpharetta, GA 30022",33.9866992,-84.27047089999999,33.9867037,-84.2705095,64,35667.434,125.66751
Riverstone Parkway,"1459 Riverstone Pkwy, Canton, GA 30114",34.2523813,-84.47300489999999,34.2523787,-84.47303989999999,143,76549.45,280.78833
Rockmart,"1500 Chattahoochee Dr, Rockmart, GA 30153",34.0087197,-85.0320792,34.00866,-85.03208359999999,140,81668.41,274.89767
Roswell Corners,"1185 Woodstock Rd, Roswell, GA 30075",34.0621543,-84.3994142,34.062207199999996,-84.3994321,85,48708.418,166.90216
Roswell Road at Cobb Parkway,"1110 Roswell Rd, Marietta, GA 30062",33.9505432,-84.5190808,33.950539,-84.51909839999999,181,101911.734,355.40344
Roswell Town Center,"604 Holcomb Bridge Rd, Roswell, GA 30076",34.0370708,-84.3427064,34.037075,-84.34271059999999,59,34172.184,115.84974
Russell Parkway,"621 Russell Pkwy, Warner Robins, GA 31088",32.5934027,-83.63377969999999,32.593402,-83.63378089999999,209,120679.92,410.38297
Saint Simons,"2205 Demere Rd, Saint Simons Island, GA 31522",31.1597168,-81.39015069999999,31.1597011,-81.3901557,75,48569.58,147.26662
Salem Bridge [GA],"12920 Brown Bridge Rd, Covington, GA 30016",33.57893749999999,-83.9620042,33.5788812,-83.9619903,152,84055.56,298.46033
Sam Nunn Blvd,"1600 Sam Nunn Blvd, Perry, GA 31069",32.474614,-83.7463609,32.475147299999996,-83.74670549999999,1073,675707.56,2106.8943
Sandy Springs,"5925 Roswell Rd Ste C, Atlanta, GA 30328",33.9177048,-84.3786616,33.9177102,-84.3786691,98,55958.34,192.42838
Sanford Stadium,"280 E Campus Rd, Athens, GA 30602",33.9491241,-83.3722039,33.9496792,-83.37306629999999,9592,5437588.5,18834.418
Savannah Quarters,"2021 Pooler Pkwy, Pooler, GA 31322",32.080264,-81.28109529999999,32.0804902,-81.2823485,100,62737.027,196.35548
Savannah State University,"3219 College St, Savannah, GA 31404",32.0226891,-81.0562569,32.0226824,-81.0562642,2287,1468480.5,4490.65
Scenic Highway,"1559 Scenic Hwy N, Snellville, GA 30078",33.8876953,-84.0100911,33.887633199999996,-84.01003949999999,146,88164.48,286.67902
Senoia,"7996 Wells St, Senoia, GA 30276",33.2953795,-84.5469523,33.2943806,-84.5468952,111,67252.38,217.95459
Smyrna (GA),"5120 S Cobb Dr SE, Smyrna, GA 30080",33.8282334,-84.492564,33.8282036,-84.4926344,22,12006.386,43.198208
Snellville at Hwy 78,"3090 Stone Mountain Hwy, Snellville, GA 30078",33.8522396,-84.0401766,33.8519942,-84.0402505,140,80715.93,274.89767
South Cobb Drive,"3100 S Cobb Dr SE, Smyrna, GA 30080",33.877978,-84.532876,33.8778885,-84.5330587,118,69123.89,231.69948
South Dublin,"2242 US Highway 441 S, Dublin, GA 31021",32.4855234,-82.9353987,32.4855228,-82.9353704,299,189225.08,587.1029
South Fulton Parkway at 92,"5395 Thompson Road, South Fulton, GA 30213",33.6131526,-84.611463,33.6127034,-84.6115731,123,72745.23,241.51724
Sprayberry,"2530 Sandy Plains Rd, Marietta, GA 30066",34.01262639999999,-84.49535519999999,34.0125999,-84.49536490000001,86,48826.563,168.86572
St. Augustine Road,"1100 N Saint Augustine Rd, Valdosta, GA 31601",30.8394628,-83.3203329,30.839451399999998,-83.3202469,116,74605.695,227.77237
Starr's Mill,"1222 Highway 74 S, Peachtree City, GA 30269",33.3426618,-84.53430089999999,33.3426463,-84.5342826,80,45909.7,157.08438
State Farm Arena,"1 State Farm Drive, Atlanta, GA 30303",33.7574059,-84.3962337,33.7572245,-84.3963828,6930,4098062.8,13607.436
Statesboro,"352 Northside Dr E, Statesboro, GA 30458",32.4379362,-81.7610773,32.4379339,-81.76110299999999,64,38408.477,125.66751
Stone Mountain,"5075 Stone Mountain Hwy, Stone Mountain, GA 30087",33.82486859999999,-84.10579249999999,33.8248807,-84.1058077,122,70067.99,239.5537
Stonebridge Village,"5905 Spout Springs Rd, Flowery Branch, GA 30542",34.1775873,-83.9108937,34.177583399999996,-83.91090349999999,60,32952.918,117.81329
Sugarloaf & 316,"4965 Sugarloaf Pkwy, Lawrenceville, GA 30044",33.9574192,-84.0576919,33.957432,-84.05771539999999,83,46834.188,162.97505
Sugarloaf and Satellite,"2000 Satellite Blvd, Duluth, GA 30097",33.988337,-84.0878824,33.9882975,-84.0878872,223,133420.33,437.87274
Suwanee Road,"3156 Lawrenceville Suwanee Rd, Suwanee, GA 30024",34.0334045,-84.0517404,34.0333654,-84.0517854,180,108107.734,353.43988
Terminus In-Line,"3280 Peachtree Rd NE Ste 105, Atlanta, GA 30305",33.8444339,-84.3707775,33.8445217,-84.3711058,470,196036.05,922.8708
Terrell Mill,"1440 Terrell Mill Rd SE, Marietta, GA 30067",33.9173643,-84.4686658,33.9172967,-84.46857200000001,59,36229.117,115.84974
The Collection Forsyth,"430 Peachtree Pkwy, Cumming, GA 30041",34.1528564,-84.1748475,34.1528335,-84.1748357,160,94054.2,314.16876
The Dwarf House,"461 N Central Ave, Hapeville, GA 30354",33.6563813,-84.4040004,33.6565454,-84.4039102,451,261960.56,885.56323
The Mall at Stonecrest,"2929 Turner Hill Rd Ste 2550, Lithonia, GA 30038",33.7033886,-84.08875309999999,33.7018719,-84.0891912,120,75251.266,235.62659
Thomaston [GA],"1054 Highway 19 N, Thomaston, GA 30286",32.9221459,-84.3332262,32.9221445,-84.3333677,37,22891.35,72.65153
Thomasville,"15062 US Highway 19 S, Thomasville, GA 31757",30.8543477,-83.9450736,30.8543521,-83.9450646,119,72899.33,233.66302
Thomson,"1806 Washington Rd, Thomson, GA 30824",33.5056781,-82.5022468,33.505676199999996,-82.5022501,114,68101.516,223.84526
Thornton Road,"835 Thornton Rd, Lithia Springs, GA 30122",33.7821017,-84.6097207,33.7821077,-84.6097171,71,41708.293,139.4124
Tifton,"1197 US Highway 82 W, Tifton, GA 31793",31.4505872,-83.5315916,31.450723699999998,-83.53125340000001,56,35137.836,109.959076
Toccoa [GA],"605 Big A Rd, Toccoa, GA 30577",34.5746448,-83.31218109999999,34.574643699999996,-83.31215859999999,184,107002.766,361.2941
Tom Hill Sr Blvd,"140 Tom Hill Sr Blvd, Macon, GA 31210",32.9002989,-83.6886147,32.9003059,-83.6886293,67,39828.258,131.55818
Town Center At Cobb,"400 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144",34.0177099,-84.5644745,34.017963,-84.5642074,18821,11327346,36956.066
Towne Lake,"3070 Eagle Dr, Woodstock, GA 30189",34.1111007,-84.5555808,34.1109872,-84.5556603,78,47269.64,153.15727
Truett's Chick-fil-A - Newnan,"505 Highway 34 E, Newnan, GA 30265",33.3913829,-84.76293679999999,33.391473399999995,-84.7630607,239,138593.19,469.2896
Truett's Chick-fil-A - Rome,"264 Shorter Ave NW, Rome, GA 30165",34.2635019,-85.1883477,34.2634141,-85.1882205,202,117137.32,396.6381
Truett's Chick-fil-A - Stockbridge,"3649 Highway 138 SE, Stockbridge, GA 30281",33.5530361,-84.27185449999999,33.5530517,-84.2718643,193,111436.23,378.9661
Truett's Chick-fil-A - Woodstock,"9728 Highway 92, Woodstock, GA 30188",34.0857069,-84.52688599999999,34.085672300000006,-84.526901,224,125136.97,439.8363
Truett's Chick-fil-A Catering & Delivery - VA Ave,"801 Virginia Ave, Hapeville, GA 30354",33.6599878,-84.4157379,33.6599949,-84.4157352,80,49367.066,157.08438
Truett's Grill - Griffin,"1455 N Expressway, Griffin, GA 30223",33.2730184,-84.2928996,33.2729755,-84.2929716,152,90534.9,298.46033
Truett's Grill - McDonough,"1785 Jonesboro Rd, McDonough, GA 30253",33.4630963,-84.21463779999999,33.4630931,-84.2146267,143,84368.24,280.78833
Truett's Grill - Morrow,"2042 Mount Zion Rd, Morrow, GA 30260",33.5625407,-84.3232185,33.5626118,-84.3231611,113,65728.74,221.8817
Truett's Luau,"600 Lanier Ave W Ste 103, Fayetteville, GA 30214",33.4465449,-84.4677301,33.4464779,-84.4675499,343,208652.23,673.4993
Truist Park,"755 Battery Ave SE, Atlanta, GA 30339",33.889928,-84.4686388,33.889804999999996,-84.4690488,19,8589.278,37.30754
Tucker Hugh Howell Road,"4435 Hugh Howell Rd, Tucker, GA 30084",33.8498985,-84.2072209,33.85011670000001,-84.2072314,224,119624.35,439.8363
Turner Hill Road,"2985 Turner Hill Rd, Lithonia, GA 30038",33.7033774,-84.0887535,33.7018719,-84.0891912,120,75251.266,235.62659
Union Grove Crossroads,"1940 Highway 155 N, McDonough, GA 30252",33.5053416,-84.1415761,33.505834799999995,-84.1410451,255,161208.28,500.70648
University of Georgia,"45 Baxter St, Athens, GA 30602",33.9504571,-83.3750135,33.9504431,-83.3750144,2213,1342814.8,4345.3467
University of West Georgia,"Campus Dining, Carrollton, GA 30118",33.5718188,-85.098004,33.571715499999996,-85.0981261,378,232131.94,742.22375
Valdosta State University - Student Union,"1500 N Patterson St, Valdosta, GA 31698",30.8471668,-83.2891918,30.8471734,-83.2891934,2087,1315139.5,4097.939
Victory at Skidaway,"2111 E Victory Dr, Savannah, GA 31404",32.0403145,-81.0634522,32.0403228,-81.06345720000002,85,51747.813,166.90216
Vidalia,"2349 E 1st St, Vidalia, GA 30474",32.2074694,-82.3816425,32.2074572,-82.38166199999999,95,57328.06,186.5377
Villa Rica,"85 Commerce Dr, Villa Rica, GA 30180",33.7289919,-84.9407013,33.7289725,-84.9406973,127,69824.97,249.37146
Vine City,"875 Martin Luther King Jr Dr NW, Atlanta, GA 30314",33.7550103,-84.41578799999999,33.7550131,-84.4158132,122,69867.71,239.5537
Vinings,"2485 Cumberland Pkwy SE, Atlanta, GA 30339",33.864036,-84.4775757,33.86402410000001,-84.4776024,114,65298.063,223.84526
Washington Road,"3066 Washington Rd, Augusta, GA 30907",33.5129373,-82.0518513,33.5129369,-82.05185159999999,87,51922.6,170.82927
Watson Blvd,"3000 Watson Blvd, Warner Robins, GA 31093",32.6180029,-83.6914223,32.6180072,-83.6914209,1238,787768.56,2430.8809
Waycross,"2256 Memorial Dr, Waycross, GA 31501",31.1985349,-82.3257837,31.198527300000002,-82.3257754,98,59021.598,192.42838
Wesley Chapel Road,"2452 Wesley Chapel Rd, Decatur, GA 30035",33.7158201,-84.2149111,33.715783099999996,-84.214882,166,101357.69,325.9501
West Cobb,"2555 Dallas Hwy SW, Marietta, GA 30064",33.9458146,-84.6263707,33.945812,-84.6263649,88,50073.066,172.79283
West Midtown,"1100 Northside Dr NW, Atlanta, GA 30318",33.7848124,-84.40799919999999,33.7848168,-84.4080129,110,61202.96,215.99103
West Paces Ferry,"3419 Northside Pkwy NW, Atlanta, GA 30327",33.8474365,-84.4288306,33.8474375,-84.42883119999999,45,22614.521,88.35997
Winder,"97 Shephard Lane, Bethlehem, GA 30620",33.9473928,-83.75448659999999,,,,,
Windward Parkway,"5180 Windward Pkwy, Alpharetta, GA 30004",34.09262289999999,-84.2765404,34.0926495,-84.27649919999999,137,77549.15,269.00702
Windy Hill Road,"2661 Windy Hill Rd SE, Marietta, GA 30067",33.9016453,-84.4781228,33.9016428,-84.4781519,134,75935.336,263.11636
Woodlawn Square,"1201 Johnson Ferry Rd, Marietta, GA 30068",33.9778687,-84.41824249999999,33.9779799,-84.41846749999999,133,75622.65,261.1528
Young Harris College,"228 Maple Street, Young Harris, GA 30582",34.9334709,-83.84591549999999,34.9334797,-83.8458714,1233,689763.6,2421.0632
Zebulon Road,"5920 Zebulon Rd, Macon, GA 31210",32.8794141,-83.75831640000001,32.8794088,-83.7582932,55,33237.9,107.995514
